RegionName2,Year,Epidemic_Week
Addis Ababa,2014,32
Addis Ababa,2014,51
Addis Ababa,2014,52
Addis Ababa,2015,1
Addis Ababa,2015,2
Addis Ababa,2015,6
Addis Ababa,2015,7
Addis Ababa,2015,8
Addis Ababa,2015,9
Addis Ababa,2015,10
Addis Ababa,2015,11
Addis Ababa,2015,12
Addis Ababa,2015,14
Addis Ababa,2015,15
Addis Ababa,2015,16
Addis Ababa,2015,22
Addis Ababa,2016,6
Addis Ababa,2019,32
Addis Ababa,2020,1
Addis Ababa,2020,2
Addis Ababa,2020,3
Addis Ababa,2020,4
Addis Ababa,2020,5
Addis Ababa,2020,6
Addis Ababa,2020,7
Addis Ababa,2020,8
Addis Ababa,2020,9
Addis Ababa,2020,10
Addis Ababa,2020,11
Addis Ababa,2020,12
Addis Ababa,2020,13
Addis Ababa,2020,14
Addis Ababa,2020,15
Addis Ababa,2020,16
Addis Ababa,2020,17
Addis Ababa,2020,18
Addis Ababa,2020,19
Addis Ababa,2020,20
Addis Ababa,2020,21
Addis Ababa,2020,22
Addis Ababa,2020,23
Addis Ababa,2020,24
Addis Ababa,2020,25
Addis Ababa,2020,26
Addis Ababa,2020,27
Addis Ababa,2020,28
Addis Ababa,2020,29
Addis Ababa,2020,30
Addis Ababa,2020,31
Addis Ababa,2020,32
Addis Ababa,2020,33
Addis Ababa,2020,34
Addis Ababa,2020,35
Addis Ababa,2020,36
Addis Ababa,2020,37
Addis Ababa,2020,38
Addis Ababa,2020,39
Addis Ababa,2020,40
Addis Ababa,2020,41
Addis Ababa,2020,42
Addis Ababa,2020,43
Addis Ababa,2020,44
Addis Ababa,2020,45
Addis Ababa,2020,46
Addis Ababa,2020,47
Addis Ababa,2020,48
Addis Ababa,2020,49
Addis Ababa,2020,50
Addis Ababa,2020,51
Addis Ababa,2020,52
Addis Ababa,2021,1
Addis Ababa,2021,2
Addis Ababa,2021,3
Addis Ababa,2021,4
Addis Ababa,2021,5
Addis Ababa,2021,6
Addis Ababa,2021,7
Addis Ababa,2021,8
Addis Ababa,2021,9
Addis Ababa,2021,10
Addis Ababa,2021,11
Addis Ababa,2021,12
Addis Ababa,2021,13
Addis Ababa,2021,14
Addis Ababa,2021,15
Addis Ababa,2021,16
Addis Ababa,2021,17
Addis Ababa,2021,18
Addis Ababa,2021,19
